X,x,classifi
1,Be a much more interesting race if Trump v Sanders. Polar opposites. ,positive
2,I like that Cruz is now linking . Making them one in the same.,negative
3,"AIPAC Speech Was a Symphony of Craven, Delusional Pandering ",negative
5, you're terrible Then why'd you donate so much $$ to me,negative
6,She should've released a flock of hawks to fly overhead as she spoke,negative
7,"Hillary ClintonCriticizes Sheriff Joe Arpaio, Immigration Proxy for",negative
8,Vow to Protect Israel but Differ on Means,positive
9,as she arrives at ,positive
10,"Who would you rather have as the President?
for this Rock or like for ",positive
11,Wonder how many $27 contributions got at her fundraiser hosted by the NRA lobbyist,positive
12,"Criticizes Sheriff Joe Arpaio, Immigration Proxy for ",negative
14,"Criticizes Sheriff Joe Arpaio, Immigration Proxy forMr. Arpaio",positive
15,"Hysterical millennials make a lot of noise, but there aren't enough of them to defeat Trump. They hate anyways.",negative
16,"My favorite was , Where was my opponent when I was working for healthcare in 93",positive
19,"Trump accuses of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
20,"Gov. Kate Brown endorsesfor president | News, Weather, Sports, Breaking News ",positive
21,fair enough but you said was running a horrible campaign,negative
22,if you vote Hillary you dumb af,negative
23,Bombshell Audio Leaked: Hillary Clinton’s Plan to Take Away Your Guns https://t.co/gDgnAFUmL5,negative
24,Why the haters should wake up and stop abusing ,negative
25,"Ep. 92 - Hillary Is Anti-Israel, Obama Is Pro-Cuba, Is Anybody Pro-Ameri... https://t.co/jV68iulkMB via @BenShapiro",positive
26,"RT @CNN: Donald Trump responds to Hillary Clinton: I have the steadiest hands, far steadier than hers https://t.co/3SsFjKO2Cm https://t.co/…",negative
27,"RT @cshirky: When Sanders finds out black people live ALL OVER the US, he'll be bummed https://t.co/34gyaNtRul #OhioIsntDeepSouth https://t…",negative
28,"$20 says it'll be a gotcha/ inquisition on CNN 4 Hillary, meanwhile most of the others have no clue but won't be called out on that.",negative
29,"If Cruz is the nominee, the Senate goes Democrat guaranteed and maybe the house. Oh, and Hillary wins in a landslide https://t.co/LjvXYzdrxa",positive
31,"First Draft: Hillary Clinton Criticizes Sheriff Joe Arpaio, Immigration Proxy for Donald Trump: Mr. Arpaio, th... https://t.co/z7cpWE8TFp",positive
32,@sydney2m I bet Hillary's would explode! Ewwwwww,negative
33,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
36,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
37,"First Draft: Hillary Clinton Criticizes Sheriff Joe Arpaio, Immigration Proxy for Donald Trump: Mr. Arpaio, th... https://t.co/zNyP6NQosw",positive
40,"RT @lisabailey2014: Hillary Clinton Lands in Texas, Goes DIRECTLY to Muslim Fund-Raiser, Collects $500,000 https://t.co/V49dzUWgaE https://…",positive
41,@GovJVentura Voting for Hillary is voting for bush - https://t.co/4PTDw3vPbd,negative
43,"RT @politicalmiller: Gov Brown: Hillary ""aims to break down the barriers that hold working families back"" Amen! #ImWithHer #ShesWithUs http…",positive
44,"RT @Newsweek: Hillary Clinton slams Donald Trump at AIPAC: ""We need steady hands"" in the White House https://t.co/tfpoon0B9a https://t.co/G…",positive
45,"@SarahEMcBride #MedicareMermaids, Pro Hillary Webseries! 6 Episodes all for Hillary! 

PILOT
https://t.co/cgynDdOqhi",positive
46,"RT @ShowUp4Bernie: #StillSanders #Hillary 

Liberal media is stupid to blackout Bernie

Conservative media is genius to blackout Bernie htt…",negative
47,"RT @DylanByers: Donald Trump just hit Hillary Clinton for using a teleprompter at AIPAC, after he used a teleprompter at AIPAC.",negative
48,"RT @itsGirICode: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/5KXV45PFb0",positive
49,RT @wikileaks: Clinton email reveals that Hillary worked with Google CEOs to keep ,negative
50,"RT @ggreenwald: Hear that noise? It's liberals walking around confused, trying to figure out how to attack Trump's AIPAC speech that sounds…",positive
51,"RT @CNNPolitics: Ted Cruz: ""Trump's foreign policy is the Obama-Hillary leading from behind"" https://t.co/MdHAi0ZKvb #FinalFive https://t.c…",positive
52,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
54,"RT @veganvecoh: DML Investigates the Dangerous Deeds of George Soros - Donations to Hillary &amp; Funding Protesters at Trump's Rallies.
https:…",positive
55,@hustleshewrote @sonyahuber Sonya Huber used to bang a guy with a Confed. flag so she is a hater just like Hillary. You SJWs are insane.,negative
58,"RT @AlisonSpalding2: Hillary is no prog
-PRO death pen
-ANTI legalizing mj
-PRO 4Profit prison
PRO FRACKING
-PRO WAR 
-ANTI #fightfor15 htt…",negative
59,RT BernieSanders: Wonder how many $27 contributions HillaryClinton got at her fundraiser hosted by the NRA lobbyis… https://t.co/M1EmOv6fmo,positive
60,RT @scottienhughes: WOW.. @realDonaldTrump getting standing ovation at ,negative
61,"RT @AuntieAdjeley: @inabster @meNabster @PutinRF_Eng 
WOWSER!!  THREE CHEERS FOR HIM, BUT LOOK OUT FOR HILLARY CLINTON! I WISH HIM ALL THE …",negative
62,"RT @zack_streets: Number of United States House Reps Endorsing

Bernie Sanders: 6
Hillary Clinton: 164

#ImWithHer #NotFeelingTheBern https…",positive
63,@CNN if that's the case Ted then you need to drop out and quit complaining but if hillary gets it that's your fault as well as honky Johnny,positive
64,"RT @peddoc63: Hillary's Accomplishments:
🌀Fired from WaterGate
🌀Defended Child Rapist
🌀Dead Broke
🌀Benghazi
🌀Clinton Cash https://t.co/Dggk…",negative
65,RT @TheCyanRollins: A girl's group message holds more secrets than Hillary Clinton's email,positive
66,Republican John Kasich is the Republican who does best against Clinton - CBS/NYT poll https://t.co/UWGQ4Vz64f via cbsnews,negative
67,"RT @DylanByers: Donald Trump just hit Hillary Clinton for using a teleprompter at AIPAC, after he used a teleprompter at AIPAC.",negative
68,Why Hillary Clinton Doesn’t Deserve the Black Vote via @thenation https://t.co/V7zV0xyypb,negative
69,"Oh...Your Hilary...""What difference does it make""...? 'Right'-your above us. https://t.co/Gzlm7Kp2GH via @IBDeditorials",negative
70,RT @shereedre10: George Clooney endorses Hillary Clinton and says she's 'the only grown-up in the room' https://t.co/GjJfCeLe4M ,positive
71,"RT @glennbeck: If Utah chooses Hillary, she'd be 1st Dem to win since LBJ. But see how she stacks up against Cruz. https://t.co/577pjdL2Dp",positive
72,"RT @TRUMP_PREZ: Cuba: Before and After Socialism (Castro)

Hillary wants do this to America

#GOP &amp; #DEMS must unite behind #TRUMP

https:/…",positive
74,RT @cnnbrk: Ex-staffer suing House Benghazi panel drops Clinton bias charge. https://t.co/TKqRSakm0h. https://t.co/4gJlorv8pb,positive
75,"RT @CNN: Donald Trump responds to Hillary Clinton: I have the steadiest hands, far steadier than hers https://t.co/3SsFjKO2Cm https://t.co/…",negative
77,RT @Lrihendry: Hey Hillary! We got your number! 666 ,negative
78,"RT @omarepps: Hillary is the political version of Kathy Bates in Misery😂😂😂
Watch ya ankles son, watch ya ankles.. 😂😂😂
#ClintonTrump",negative
80,Hillary Clinton bringing campaign to Seattle-area on Tuesday ,positive
81,"RT @CNN: Ted Cruz: If Donald Trump is the nominee, it's a disaster. Hillary Clinton wins. https://t.co/3SsFjKO2Cm #FinalFive https://t.co/J…",positive
82,"RT @zerohedge: FBI ""Increasingly Certain"" Hillary Broke The Law, Stone-Walled By White House https://t.co/YQAsNkqg6u",negative
83,"Who Is the Hillary
Voter?        https://t.co/AgSZEaOiX7",negative
84,FTR Us Anti-Clinton people will not stoop so low to release an ad featuring a nude Hillary ,negative
